manufacturer,model,serial_number,manufactured_date,device_type,equipment_age_years,capital_status,date_confidence,date_source,date_method,device_type_source
Hillrom,CENTURY,12M1281998,1998-12-01,Hospital Bed,28,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""12""=Dec, trailing year 1998",static_map
Hillrom,CENTURY,12M0591998,1998-12-01,Hospital Bed,28,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""12""=Dec, trailing year 1998",static_map
Hillrom,PCENTURYK3256,12M0551998,1998-12-01,Hospital Bed,28,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""12""=Dec, trailing year 1998",static_map
Hillrom,CENTURY,12M0561998,1998-12-01,Hospital Bed,28,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""12""=Dec, trailing year 1998",static_map
Hillrom,CENTURY,12M1101998,1998-12-01,Hospital Bed,28,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""12""=Dec, trailing year 1998",static_map
Hillrom,CENTURY,02R2981999,1999-02-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""02""=Feb, trailing year 1999",static_map
Hillrom,CENTURY,02R3141999,1999-02-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""02""=Feb, trailing year 1999",static_map
Hillrom,PCENTURYK3256,02R3391999,1999-02-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""02""=Feb, trailing year 1999",static_map
Hillrom,CENTURY,02R3241999,1999-02-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""02""=Feb, trailing year 1999",static_map
Hillrom,CENTURY,02R3631999,1999-02-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""02""=Feb, trailing year 1999",static_map
Hillrom,CENTURYP1400,10L9791999,1999-10-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""10""=Oct, trailing year 1999",static_map
Hillrom,CENTURYP1400,10L7601999,1999-10-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""10""=Oct, trailing year 1999",static_map
Hillrom,CENTURYP1400,10L2981999,1999-10-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""10""=Oct, trailing year 1999",static_map
Hillrom,CENTURYP1400,10L2591999,1999-10-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""10""=Oct, trailing year 1999",static_map
Hillrom,CENTURYP1400,10L7571999,1999-10-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""10""=Oct, trailing year 1999",static_map
Hillrom,CENTURYP1400,10L7531999,1999-10-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""10""=Oct, trailing year 1999",static_map
Hillrom,CENTURYP1400,10L7541999,1999-10-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""10""=Oct, trailing year 1999",static_map
Hillrom,CENTURY,10L9201999,1999-10-01,Hospital Bed,27,End of Life (Replace),High,serial_rule,"Hillrom format A: month ""10""=Oct, trailing year 1999",static_map
Hillrom,CENTURYP1400,B334AG6731,2000-11-01,Hospital Bed,26,End of Life (Replace),Low,serial_rule,"Hillrom format B (documented letter code, extrapolated): ""B""~2000, Julian day 334 ~ Nov",static_map
Hillrom,CENTURYP1400,B333AG6698,2000-11-01,Hospital Bed,26,End of Life (Replace),Low,serial_rule,"Hillrom format B (documented letter code, extrapolated): ""B""~2000, Julian day 333 ~ Nov",static_map
Hillrom,CENTURYP1400,B333AG6701,2000-11-01,Hospital Bed,26,End of Life (Replace),Low,serial_rule,"Hillrom format B (documented letter code, extrapolated): ""B""~2000, Julian day 333 ~ Nov",static_map
